Date;Type;Valeur;Note;ISIN;Parts;Frais;Impôts / Taxes;ISIN2;Parts2
2025-06-16T09:55:20;Dividendes;0.32;Alphabet (A);US02079K3059;3.291284;;0.28;;
2025-06-16T13:48:33;Achat;-60.0;Alphabet (A);US02079K3059;0.39693;;;;
2025-06-16T13:56:42;Achat;-50.0;Booking Holdings;US09857L1089;0.010815;;;;
2025-06-16T14:07:17;Achat;-50.0;BlackRock;US09290D1019;0.058878;;;;
2025-06-16T14:09:39;Achat;-50.0;NVIDIA;US67066G1040;0.401477;;;;
2025-06-16T14:15:25;Achat;-60.0;Meta Platforms (A);US30303M1027;0.099157;;;;
2025-06-16T14:15:44;Achat;-60.0;Broadcom;US11135F1012;0.277328;;;;
2025-06-16T14:43:20;Achat;-70.0;Microsoft;US5949181045;0.169143;;;;
2025-06-16T14:52:10;Achat;-60.0;Amazon.com;US0231351067;0.324009;;;;
2025-06-16T15:08:31;Achat;-60.0;Visa;US92826C8394;0.193767;;;;
2025-06-23T11:29:46;Dividendes;0.85;BlackRock;US09290D1019;0.343593;;0.7;;
2025-06-26T11:37:06;Dividendes;0.19;Meta Platforms (A);US30303M1027;0.768905;;0.15;;
2025-06-30T08:19:05;Dividendes;0.55;Broadcom;US11135F1012;1.919735;;0.42;;
2025-06-30T08:41:33;Dividendes;0.13;Booking Holdings;US09857L1089;0.028643;;0.1;;
2025-07-01T09:01:47;Intérêts;18.48;Zinsen;;;;;;
2025-07-02T08:41:23;Achat;-40.0;BYD;CNE100000296;3.006388;;;;
2025-07-02T13:48:46;Achat;-60.0;Alphabet (A);US02079K3059;0.400908;;;;
2025-07-02T13:56:41;Achat;-50.0;Booking Holdings;US09857L1089;0.010334;;;;
2025-07-02T14:07:17;Achat;-50.0;BlackRock;US09290D1019;0.055438;;;;
2025-07-02T14:08:55;Achat;-50.0;NVIDIA;US67066G1040;0.377757;;;;
2025-07-02T14:15:25;Achat;-60.0;Meta Platforms (A);US30303M1027;0.098167;;;;
2025-07-02T14:15:41;Achat;-60.0;Broadcom;US11135F1012;0.264142;;;;
2025-07-02T14:42:49;Achat;-70.0;Microsoft;US5949181045;0.167404;;;;
2025-07-02T14:52:09;Achat;-60.0;Amazon.com;US0231351067;0.320718;;;;
2025-07-02T15:08:31;Achat;-60.0;Visa;US92826C8394;0.201139;;;;
2025-07-03T07:35:47;Dividendes;0.02;NVIDIA;US67066G1040;2.166462;;;;
2025-07-16T08:41:23;Achat;-40.0;BYD;CNE100000296;2.959674;;;;
2025-07-16T13:48:33;Achat;-60.0;Alphabet (A);US02079K3059;0.379602;;;;
2025-07-16T13:56:42;Achat;-50.0;Booking Holdings;US09857L1089;0.010201;;;;
2025-07-16T14:07:17;Achat;-50.0;BlackRock;US09290D1019;0.053949;;;;
2025-07-16T14:09:33;Achat;-50.0;NVIDIA;US67066G1040;0.339951;;;;
2025-07-16T14:15:27;Achat;-60.0;Meta Platforms (A);US30303M1027;0.097815;;;;
2025-07-16T14:15:41;Achat;-60.0;Broadcom;US11135F1012;0.249014;;;;
2025-07-16T14:43:47;Achat;-70.0;Microsoft;US5949181045;0.160495;;;;
2025-07-16T14:52:09;Achat;-60.0;Amazon.com;US0231351067;0.309278;;;;
2025-07-16T15:08:31;Achat;-60.0;Visa;US92826C8394;0.199634;;;;
2025-07-23T23:22:00;Dividendes;0.05;Walt Disney;US2546871060;0.1977;;0.04;;
